;nr.;zone;extinktion_kontrolle;extinktion_1;extinktion_2;extinktion_differenz;extinktion_korrigiert;volumen;m.intestinalis;m.orientalis;parasiten_gesamt;tag;
;1;Rand;0,03;-0,02;-0,07;-0,075;0,075;17;1;0;1;15.09.2021;
;2;Unten;0,03;-0,11;-0,15;-0,16;0,16;10;1;0;1;15.09.2021;
;3;Oben;0,03;-0,05;-0,1;-0,105;0,105;11;0;0;0;15.09.2021;
;6;Oben;-0,02;-0,25;-0,26;-0,235;0,235;14;0;0;0;15.09.2021;
;7;Rand;0,02;-0,09;-0,16;-0,145;0,145;21;2;1;3;15.09.2021;
;8;Unten;0,02;0;0,07;0,015;-0,015;8;0;1;1;15.09.2021;
;10;Rand;-0,03;-0,22;-0,24;-0,2;0,2;18;1;1;2;15.09.2021;
;11;Unten;-0,03;-0,14;-0,18;-0,13;0,13;11;0;0;0;15.09.2021;
;13;Rand;0,05;-0,1;-0,11;-0,155;0,155;20;0;0;0;15.09.2021;
;14;Unten;0,05;-0,08;-0,09;-0,135;0,135;8;0;0;0;15.09.2021;
;15;Oben;0,05;-0,15;-0,17;-0,21;0,21;20;1;0;1;15.09.2021;
;16;Rand;-0,02;-0,2;-0,22;-0,19;0,19;21;3;1;4;15.09.2021;
;19;Rand;0,01;-0,03;-0,03;-0,04;-0,04;24;5;0;5;15.09.2021; 
;20;Unten;0,01;0,29;0,33;0,3;0,3;10;0;0;0;15.09.2021;
;21;Oben;0,01;0,03;0;0,005;0,005;17;0;0;0;15.09.2021;
;22;Rand;-0,03;0,21;0,19;0,23;0,23;20;0;0;0;15.09.2021;
;23;Unten;-0,03;0,23;0,23;0,26;0,26;12;0;0;0;15.09.2021;
;24;Oben;-0,03;0,19;0,16;0,205;0,205;21;0;0;0;15.09.2021;
;25;Rand;-0,01;-0,01;-0,05;-0,02;-0,02;18;2;0;2;15.09.2021;
;26;Unten;-0,01;0,19;0,18;0,195;0,195;7;1;0;1;15.09.2021;
;27;Oben;-0,01;0,05;0,04;0,055;0,055;16;0;0;0;15.09.2021;
;28;Rand;-0,01;0,19;0,18;0,195;0,195;15;2;0;2;15.09.2021;
;29;Unten;-0,01;0,16;0,17;0,175;0,175;7;0;0;0;15.09.2021;
;30;Oben;-0,01;0,01;0;0,015;0,015;16;1;0;1;15.09.2021;
;31;Rand;0;0,2;0,16;0,18;0,18;21;2;0;2;15.09.2021;
;32;Unten;0;0,06;0,04;0,05;0,05;5;0;0;0;15.09.2021;
;33;Oben;0;0,69;0,62;0,655;0,655;15;0;0;0;15.09.2021;
;34;Rand;0,01;0,03;0,04;0,025;0,025;17;1;0;1;15.09.2021;
;35;Unten;0,01;0,72;0,62;0,66;0,66;8;0;0;0;15.09.2021;
;36;Oben;0,01;0,27;0,23;0,24;0,24;13;0;0;0;15.09.2021;
;37;Rand;-0,03;0,11;0,11;0,14;0,14;16;2;0;2;15.09.2021;
;38;Unten;-0,03;0,84;0,76;0,83;0,83;8;0;0;0;15.09.2021;
;39;Oben;-0,03;0,85;0,85;0,88;0,88;12;0;1;1;15.09.2021;
;40;Rand;0,09;0,07;0,04;-0,035;-0,035;17;3;0;3;16.09.2021;
;41;Unten;0,09;0,07;0,05;-0,03;-0,03;6;0;0;0;16.09.2021;
;42;Oben;0,09;0,2;0,15;0,085;0,085;18;2;0;2;16.09.2021;
;43;Rand;0;0,2;0,19;0,195;0,195;15;1;0;1;16.09.2021;
;44;Unten;0;0,03;0,01;0,02;0,02;8;0;0;0;16.09.2021;
;45;Oben;0;0,09;0,09;0,09;0,09;13;0;0;0;16.09.2021;
;46;Rand;-0,07;-0,04;-0,06;0,02;0,02;19;4;0;4;16.09.2021;
;47;Unten;-0,07;0,09;0,13;0,18;0,18;10;0;0;0;16.09.2021;
;48;Oben;-0,07;0,12;0,14;0,2;0,2;15;0;0;0;16.09.2021;
